,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9,Label_10,Label_11,Label_12,Label_13,Label_14,Label_15,Label_16,Label_17,Label_18,Label_19,Label_20,Label_21,Label_22,Label_23,Label_24,Label_25,Label_26,Label_27,Label_28,Label_29,Label_30,Label_31,Label_32,Label_33,Label_34,Label_35,Label_36,Label_37,Label_38,Label_39,Label_40,Label_41,Label_42,Label_43,Label_44,Label_45,Label_46,Label_47,Label_48,Label_49,Label_50,Label_51,Label_52,Label_53,Label_54,Label_55,Label_56,Label_57,Label_58,Label_59,Label_60,Label_61,Label_62,Label_63,Label_64,Label_65,Label_66,Label_67,Label_68,Label_69,Label_70,Label_71,Label_72,Label_73,Label_74,Label_75,Label_76,Label_77,Label_78,Label_79,Label_80,Label_81,Label_82,Label_83,Label_84,Label_85,Label_86,Label_87,Label_88,Label_89,Label_90,Label_91,Label_92,Label_93,Label_94,Label_95,Label_96,Label_97,Label_98,Label_99
0,0,0,0,7,0,0,0,97,25,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,35,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,55,5,0,0,0,3,0,0,56,0,0,19,4,0,0,0,0,50,0,0,0,1,0,1,3,105,0,0,0,0,2,0,0,12,0,16,0,2,3,1,0,10,0,0,0,6,0,0,7,0,0,0
1,3,0,0,0,0,0,0,0,0,0,0,5,26,0,0,0,0,0,0,0,0,7,6,21,0,6,0,17,1,0,0,3,0,0,0,1,0,0,0,40,6,4,4,0,47,0,0,7,0,0,0,0,13,0,0,0,7,6,0,0,1,2,67,0,1,1,0,9,0,1,8,0,0,3,0,0,19,0,0,14,0,0,0,1,0,0,25,46,1,0,0,156,4,11,0,1,3,0,2,24
2,0,12,0,0,0,0,0,0,0,8,7,0,6,0,0,0,1,0,4,0,0,24,0,0,0,0,1,0,8,0,0,0,2,0,7,0,0,1,1,0,8,48,0,0,19,1,49,1,0,21,0,12,3,31,1,8,0,0,0,0,0,0,0,0,0,1,0,69,0,0,0,0,0,0,0,153,0,3,0,0,0,1,24,1,4,0,66,6,0,0,1,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,6,0,0,17,0,0,0,13,0,3,0,0,0,2,0,0,0,0,0,2,6,0,0,0,0,0,0,3,15,0,0,0,11,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,43,0,0,14,0,0,8,0,0,0,0,0,0,0,0,0,26,5,0,0,0,0,0,0,0,0,0,20
4,0,0,1,0,1,0,8,0,1,0,0,0,13,0,20,2,0,0,0,0,49,7,0,0,4,0,0,0,0,0,0,0,12,2,0,1,0,0,0,1,0,0,4,2,0,0,17,0,0,0,0,0,7,1,16,0,0,0,1,14,0,48,0,0,0,1,0,3,0,0,0,0,2,0,0,0,10,0,0,39,0,0,0,51,0,19,4,0,0,0,0,0,0,11,1,4,0,0,7,0
5,3,0,1,0,0,39,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,69,2,0,0,0,0,161,186,2,0,0,0,12,0,23,4,1,0,6,0,0,0,0,0,0,0,23,0,0,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,14,0,0,11,0,0,34,0,2,0,0,0,0,2,0,0,0,0,0,29,21,1,14,0,89,10,0,0,0,13,0,0
6,0,1,0,0,0,0,2,8,0,0,4,2,0,0,1,0,0,0,2,0,0,1,0,17,0,0,3,75,0,0,0,7,3,15,3,0,0,0,0,0,0,0,0,9,0,0,10,1,2,9,0,0,7,4,0,112,3,0,0,0,0,0,13,5,19,0,17,1,1,0,7,0,0,0,0,0,0,0,100,0,0,0,0,0,0,7,2,0,0,0,0,0,26,0,0,2,0,0,0,0
7,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,30,23,0,0,0,0,0,0,0,4,0,0,0,0,25,1,0,0,0,0,5,0,1,3,0,71,0,0,19,2,4,0,0,17,0,1,0,0,0,17,0,0,0,0,20,0,0,68,0,0,0,59,8,0,0,0,0,27,6,0,0,0,2,0,0,0,0,0,0
8,0,0,14,1,2,0,0,20,0,0,1,0,0,0,0,0,27,0,0,0,0,0,0,23,0,10,0,4,0,0,0,1,0,0,0,0,0,0,0,0,9,5,0,0,0,12,0,140,0,46,0,15,5,18,0,0,12,0,0,0,16,4,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,29,0,0,0,10,0,0,0,2,0,1,0,0,0,9,0,2,2,0
9,0,39,73,0,2,0,19,8,1,5,0,0,11,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,1,2,0,8,0,0,17,0,0,0,0,1,0,0,0,0,0,2,0,6,0,7,0,2,63,0,0,0,4,0,0,0,0,0,0,0,0,19,3,0,0,0,1,0,0,0,0,0,0,5,8,0,0,0,3,1,7,0,0,0,0,1,16,78,0,7,0,0,0,0
10,0,11,0,0,0,0,0,18,0,3,22,17,0,0,0,1,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,8,0,29,1,0,0,0,0,48,0,0,2,0,0,2,0,0,0,0,2,0,0,3,0,1,0,0,0,0,0,8,0,0,0,0,0,3,0,1,0,0,0,15,0,3,0,0,3,1,10,0,1,0,0,2,0,0,12,2,0,0,0,0,0,0,1,0
11,0,2,0,0,0,5,0,0,4,3,0,12,13,0,4,1,0,0,0,0,4,0,0,0,0,1,1,0,0,0,115,42,0,0,0,0,0,0,0,0,20,1,5,0,47,2,1,0,0,0,0,0,0,0,7,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11,0,37,2,0,2,0,0,15,13,0,2,0,0,12,0,0,0,1,0,4,0,0,0,3,0,1,0,0
12,0,46,0,0,0,0,17,0,0,169,0,8,0,0,0,37,126,14,1,1,0,0,0,0,0,0,3,0,2,6,0,0,8,0,0,0,0,0,0,0,0,0,1,0,1,17,0,0,0,2,0,0,2,0,0,0,16,22,0,81,0,30,4,3,132,0,0,0,0,0,0,0,8,0,6,0,17,1,0,0,0,8,0,0,2,0,0,0,0,0,14,0,0,0,79,0,12,0,23,0
13,120,0,0,4,34,0,0,11,2,7,0,0,13,1,0,0,16,0,0,0,4,0,0,18,15,0,5,0,23,0,2,0,0,1,0,10,9,35,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,2,0,2,20,0,0,0,12,0,4,3,0,1,19,0,0,0,0,0,3,0,2,0,0,0,0,9,0,0,0,1,0,0,0,0,3,0,0,0,0,0,6,0,0,11,39,0
14,0,0,7,0,0,7,0,0,0,18,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,2,9,0,0,0,0,0,51,1,0,0,102,0,0,38,0,0,0,0,0,0,0,0,0,4,0,0,0,0,41,0,0,2,0,1,0,4,0,0,0,6,15,0,0,0,15,1,0,47,0,5,0,0,0,29,0,12,17,0,0,0,0,0,0,27,0,0,0,0,3,9,90,0,0,40
15,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,9,5,41,0,0,1,0,0,7,0,0,0,0,0,0,0,3,6,0,0,12,0,0,8,0,0,4,62,0,0,1,0,40,0,8,10,0,0,1,6,0,0,0,1,0,0,0,0,6,17,5,97,0,0,1,0,4,8,2,0,0,20,0,0,0,0,5,68,1,0,61,1,21,0,11,0,5,0,3,48,7,0,0,0,70
16,0,4,0,0,0,0,0,4,0,5,0,0,1,5,0,0,12,0,17,0,145,12,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,25,0,1,5,3,0,0,0,0,0,0,0,0,16,0,0,27,0,0,16,0,0,52,1,0,0,20,12,0,0,0,1,2,0,7,0,0,0,0,17,0,20,6,0,21,0,0,1,0
17,0,0,0,0,0,0,5,2,0,0,1,38,0,0,23,38,0,0,0,0,0,2,0,0,6,0,0,3,0,8,0,0,12,14,0,0,6,0,0,59,0,0,0,0,2,0,0,0,0,0,0,1,1,0,5,1,1,0,9,4,0,0,3,0,0,12,8,0,0,2,0,2,0,0,0,0,0,31,16,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4,7,0,0,8
18,0,0,0,0,9,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,2,2,0,10,2,1,0,0,0,0,0,0,0,0,0,101,0,0,52,0,0,0,0,0,45,0,0,0,0,51,6,3,39,0,0,4,0,0,4,0,0,0,0,3,5,1,5,5,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,15,0,26,3,0,0,4,10,0,3,0,0
19,2,35,0,0,0,0,0,0,8,2,0,0,0,0,2,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,1,11,0,8,0,0,0,0,32,2,0,0,0,3,13,0,0,0,0,59,59,69,0,3,0,10,0,0,0,0,0,50,0,0,0,0,2,0,57,0,2,0,1,0,0,0,0,0,3,35,0,0,0,4,0,0,6,26,19,0,0,0,0,0,0,14,0,0
20,0,0,0,0,0,0,0,0,0,0,0,3,0,11,28,0,1,0,4,0,0,0,4,0,0,6,0,0,0,1,0,17,0,0,1,3,21,0,3,0,0,0,2,2,0,0,8,0,0,0,0,0,0,0,13,0,0,0,0,0,0,53,0,0,0,0,0,45,15,1,0,5,1,1,4,0,24,0,0,4,0,0,2,2,0,0,0,1,0,0,2,4,0,0,1,0,2,2,0,0
21,0,0,0,11,0,4,3,26,0,0,12,3,0,0,0,17,0,27,0,0,0,0,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30,0,1,5,0,0,10,0,0,0,0,1,5,0,0,1,0,4,0,5,23,0,0,0,0,0,0,1,2,1,0,7,0,64,2,3,0,0,0,1,6,30,1,0,0,1,1,0,0,0,0,32,0,0,0,0,0,0,0,2,0,0,0
22,0,2,0,47,0,0,3,0,0,45,1,0,0,1,49,0,0,0,0,0,0,0,0,0,10,0,2,0,0,6,0,35,0,26,26,0,22,2,0,20,0,0,0,0,40,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,36,3,0,0,0,0,0,0,0,0,0,26,0,3,0,0,4,0,0,11,9,0,0,0,0
23,6,4,22,20,0,0,1,1,0,0,1,16,0,0,0,0,0,0,0,0,7,9,0,0,0,0,1,6,0,2,0,3,2,0,20,1,0,26,15,0,15,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,17,0,105,0,4,7,0,0,2,0,9,2,30,0,0,0,1,17,0,0,5,17,0,0,1,0,0,0,0,0,0,2,1,9,0,0,0
24,7,0,13,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,4,0,6,0,0,0,0,1,4,0,1,0,0,0,1,0,11,1,50,2,0,17,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,43,10,0,0,3,2,0,1,0,0,0,2,0,0,0,0,5,1,19,0,0,7,10,5,0
25,15,0,0,3,0,0,0,11,1,12,0,0,0,0,0,4,0,0,0,14,26,0,0,0,0,1,26,0,4,0,14,0,21,0,0,1,1,4,0,8,15,0,0,0,5,5,32,5,0,0,0,1,0,0,1,0,1,0,57,42,1,0,0,0,0,0,10,0,3,45,0,94,0,0,0,0,0,0,0,6,20,0,0,0,0,0,12,0,0,0,10,0,3,0,0,0,0,0,16,0
26,0,1,20,0,1,0,0,1,1,11,36,1,0,0,2,0,0,1,0,0,0,7,0,43,16,0,35,60,16,2,0,0,0,11,0,45,1,0,0,0,2,0,0,15,0,1,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,40,0,2,32,0,0,0,0,0,0,0,14,0,35,0,0,4,0,0,0,0,0,0,24,0,5,0,12,0,0,10,0,0,0
27,0,0,5,0,0,0,0,0,0,0,0,0,0,13,0,7,0,0,0,0,0,0,0,1,0,2,13,0,161,0,0,0,0,5,0,5,0,0,12,2,0,0,13,0,1,30,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,7,9,0,0,0,0,1,0,0,11,44,0,0,2,0,20,0,0,0,0,0,11,116,0,0,0,18,0,0,0,0,0,0,0,17,10
28,0,0,0,0,0,0,15,0,0,0,1,0,50,0,90,9,2,0,0,0,5,10,0,0,0,0,28,0,0,11,7,0,4,0,15,0,5,0,0,0,0,3,3,23,11,1,7,63,0,4,0,0,11,0,0,0,9,10,0,0,0,0,0,5,2,0,1,12,0,0,0,1,0,0,1,19,49,0,14,7,0,3,0,38,2,0,24,3,19,0,0,3,53,0,1,0,0,0,1,0
29,0,0,0,125,15,0,0,10,3,25,33,16,0,0,2,0,0,0,0,0,10,0,0,0,0,49,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,3,0,2,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,25,0,3,16,0,0,4,14,0,0,0,16,11,0,0,10,21,12,0,0,18,0,0,0,0,1,1,0,0,1,0,0
30,0,0,4,2,4,0,0,1,0,0,0,0,0,2,0,0,0,1,3,0,0,2,14,35,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,3,6,0,0,0,0,13,10,0,0,0,0,0,14,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,20,0,0,6,60,0,1,4,0,0,0,0,1,0,2,1,3,0,0,0,0,0,4,2,0,0,0,1,81,1,0
31,0,0,3,6,0,6,5,0,2,0,46,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,4,88,0,0,0,0,0,42,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,3,0,0,25,2,10,5,0,1,0,24,0,0,0,4,0,8,11,0,16,0,0,3,0,0,0,2,3,2,0,0,0,0,0,0,6,0,0,0,0,0,1,1,3,0,0,1,6
32,60,0,15,0,97,0,11,0,0,0,11,0,4,31,2,0,0,15,0,0,0,13,0,4,0,0,0,0,1,0,4,0,0,0,5,1,0,0,0,33,4,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,1,3,0,0,4,0,0,13,0,0,2,0,0
33,0,0,0,0,0,0,2,0,0,2,0,9,0,0,0,0,0,38,2,0,0,0,0,0,0,0,0,0,4,4,0,0,0,30,0,0,6,0,18,0,1,0,0,13,0,1,0,0,0,0,0,0,0,2,16,0,1,0,0,2,4,8,0,0,0,0,0,0,4,53,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,3,42,0,0,1,0,0,2,2,0,1,0
34,0,0,0,4,1,0,3,0,0,3,0,0,0,0,0,0,0,0,57,0,0,0,1,21,2,1,0,0,0,0,0,20,0,34,28,0,0,0,7,8,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,33,1,0,56,0,0,37,0,5,0,18,0,0,0,0,4,4,0,0,16,33,0,0,0,0,0,8,0,0,0,1,1,0,5,2,0,0,49,0,0,0,1,0
35,38,0,9,0,0,0,0,24,0,0,10,1,0,0,0,0,0,2,11,0,0,9,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,0,1,0,11,0,0,16,0,0,0,0,2,0,1,0,2,0,0,0,0,2,10,2,0,0,22,0,3,0,7,0,0,2,0,0,48,0,0,0,5,0,0,1,36,1,0,0,0,0,40,0,0,0
36,0,0,4,0,5,0,28,0,0,0,1,0,0,0,16,71,0,0,18,22,11,2,1,0,0,0,1,0,3,0,0,0,0,4,0,0,43,0,0,0,0,0,0,46,0,0,0,1,107,0,0,0,2,0,0,0,0,0,14,3,0,5,0,0,0,0,0,0,14,0,0,0,0,0,0,15,1,0,0,0,0,27,0,0,0,0,0,0,1,0,0,0,7,0,0,1,36,1,0,0
37,0,31,0,0,0,1,0,5,0,1,1,19,0,2,105,2,0,0,4,16,1,0,1,0,0,0,30,0,1,18,0,0,0,0,2,5,3,0,40,4,6,8,0,0,0,0,9,0,24,0,1,43,0,2,2,0,0,0,0,19,0,0,9,0,47,0,0,0,43,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,18,0,0,75,4,23,0,0,0,0,5,0,25,0,40,0
38,16,0,2,2,0,1,0,0,0,0,0,17,0,0,5,6,11,43,0,19,10,0,3,0,0,2,0,6,0,2,0,1,1,0,0,0,0,0,46,0,0,0,3,0,0,0,75,1,0,5,23,0,2,23,0,1,0,0,0,0,0,0,2,1,0,0,9,0,0,0,0,0,32,4,65,0,2,1,24,0,0,0,0,32,0,0,3,0,0,0,0,0,20,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,26,1,0,0,0,0,0,4,1,0,0,1,0,0,1,0,0,4,0,21,37,0,1,4,0,0,2,16,0,0,37,0,3,4,0,0,0,0,0,1,0,0,15,0,0,3,9,0,18,1,55,1,0,0,0,0,3,0,4,7,0,0,7,9,0,0,0,0,25,0,2,58,0,0,45,1,0,62,0,0
40,0,0,0,4,0,25,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,1,0,0,16,0,2,0,0,8,0,0,1,0,0,0,0,29,0,0,1,11,0,0,15,1,0,6,0,2,0,0,0,0,0,0,13,0,0,0,9,0,0,0,0,0,47,0,0,0,0,138,6,0,0,0,7,4,14,0,0,8,0,0,0,1,66,10,0,0,0,0,6,0,12,0,0,0,3,0
41,1,0,0,0,29,0,0,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,59,0,0,1,0,0,0,0,0,0,0,18,42,0,4,0,7,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,1,1,0,31,0,0,3,23,94,4,0,0,0,0,0,0,1,0,0,0,0,2,6,0,0,0,0,1,40,67,0
42,0,0,22,0,1,0,1,0,0,2,3,0,1,0,1,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,1,0,72,2,0,1,0,0,0,0,89,0,16,0,0,43,0,1,0,2,0,0,0,6,4,0,18,0,0,0,12,0,0,0,0,0,0,1,22,1,0,3,1,0,0,0,0,0,9,0,0,9,70,1,0,22,1,0,29,0,0,4,1,0,0,2,4,0,0
43,0,0,0,0,11,9,0,23,0,0,0,0,0,0,0,1,18,0,0,0,0,8,30,59,0,3,0,0,0,0,81,0,0,8,2,0,0,0,53,0,0,0,46,0,0,0,0,23,0,0,0,0,0,1,9,0,5,0,1,0,0,0,0,0,0,0,31,3,0,0,0,0,0,0,43,1,3,0,21,5,0,22,0,0,1,0,0,0,0,84,0,0,4,0,0,0,0,0,0,8
44,7,0,0,0,0,19,0,0,3,0,0,0,0,0,0,0,4,20,12,189,0,2,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,2,5,0,0,0,0,0,4,0,1,0,45,0,0,26,60,0,0,0,0,5,14,0,0,0,0,0,1,0,0,0,1,2,0,24,6,1,23,0,0,7,35,1,1,0,3,1,0,58,0,0,0,0,0,2,0,8,0,0,44,1,0,0
45,0,40,65,18,0,222,0,0,0,0,0,9,38,7,0,0,0,0,0,47,1,44,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,5,11,1,15,0,10,1,0,0,0,1,0,0,0,0,23,0,12,3,0,0,0,0,20,0,0,0,0,3,86,0,0,8,0,49,0,45,3,0,0,0,0,0,0,11,1,0,3,2,14,0,0,0,25,0,0,0,0,0,0,1,1
46,0,0,0,0,0,0,6,0,0,1,0,0,0,24,11,20,0,29,1,25,0,1,0,0,0,21,0,3,0,0,0,46,0,9,0,0,0,59,0,0,0,2,33,19,0,0,36,0,5,5,0,5,56,41,49,0,0,0,7,0,0,0,0,0,0,63,0,0,0,3,0,6,8,1,1,0,0,2,6,0,0,1,0,1,0,0,0,2,0,0,50,0,3,0,0,0,0,9,0,0
